"""næring (SN2007)"";""kvartal"";""statistikkvariabel"";""08771: Ledige stillingar, etter næring (SN2007), kvartal og statistikkvariabel"""
"""01-96 Alle næringar"";""2010K1"";""Ledige stillingar"";60500"
"""01-96 Alle næringar"";""2010K1"";""Ledige stillingar (prosent)"";2,5"
"""01-96 Alle næringar"";""2010K1"";""Ledige stillingar, endring frå året før"";."
"""01-96 Alle næringar"";""2010K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";."
"""01-96 Alle næringar"";""2010K2"";""Ledige stillingar"";67900"
"""01-96 Alle næringar"";""2010K2"";""Ledige stillingar (prosent)"";2,8"
"""01-96 Alle næringar"";""2010K2"";""Ledige stillingar, endring frå året før"";."
"""01-96 Alle næringar"";""2010K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";."
"""01-96 Alle næringar"";""2010K3"";""Ledige stillingar"";63900"
"""01-96 Alle næringar"";""2010K3"";""Ledige stillingar (prosent)"";2,6"
"""01-96 Alle næringar"";""2010K3"";""Ledige stillingar, endring frå året før"";."
"""01-96 Alle næringar"";""2010K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";."
"""01-96 Alle næringar"";""2010K4"";""Ledige stillingar"";55800"
"""01-96 Alle næringar"";""2010K4"";""Ledige stillingar (prosent)"";2,3"
"""01-96 Alle næringar"";""2010K4"";""Ledige stillingar, endring frå året før"";."
"""01-96 Alle næringar"";""2010K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";."
"""01-96 Alle næringar"";""2011K1"";""Ledige stillingar"";68900"
"""01-96 Alle næringar"";""2011K1"";""Ledige stillingar (prosent)"";2,8"
"""01-96 Alle næringar"";""2011K1"";""Ledige stillingar, endring frå året før"";8300"
"""01-96 Alle næringar"";""2011K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,3"
"""01-96 Alle næringar"";""2011K2"";""Ledige stillingar"";78500"
"""01-96 Alle næringar"";""2011K2"";""Ledige stillingar (prosent)"";3,2"
"""01-96 Alle næringar"";""2011K2"";""Ledige stillingar, endring frå året før"";10500"
"""01-96 Alle næringar"";""2011K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,4"
"""01-96 Alle næringar"";""2011K3"";""Ledige stillingar"";68000"
"""01-96 Alle næringar"";""2011K3"";""Ledige stillingar (prosent)"";2,7"
"""01-96 Alle næringar"";""2011K3"";""Ledige stillingar, endring frå året før"";4100"
"""01-96 Alle næringar"";""2011K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,1"
"""01-96 Alle næringar"";""2011K4"";""Ledige stillingar"";62200"
"""01-96 Alle næringar"";""2011K4"";""Ledige stillingar (prosent)"";2,5"
"""01-96 Alle næringar"";""2011K4"";""Ledige stillingar, endring frå året før"";6400"
"""01-96 Alle næringar"";""2011K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,2"
"""01-96 Alle næringar"";""2012K1"";""Ledige stillingar"";69200"
"""01-96 Alle næringar"";""2012K1"";""Ledige stillingar (prosent)"";2,8"
"""01-96 Alle næringar"";""2012K1"";""Ledige stillingar, endring frå året før"";300"
"""01-96 Alle næringar"";""2012K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""01-96 Alle næringar"";""2012K2"";""Ledige stillingar"";72000"
"""01-96 Alle næringar"";""2012K2"";""Ledige stillingar (prosent)"";2,9"
"""01-96 Alle næringar"";""2012K2"";""Ledige stillingar, endring frå året før"";-6500"
"""01-96 Alle næringar"";""2012K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,3"
"""01-96 Alle næringar"";""2012K3"";""Ledige stillingar"";60900"
"""01-96 Alle næringar"";""2012K3"";""Ledige stillingar (prosent)"";2,4"
"""01-96 Alle næringar"";""2012K3"";""Ledige stillingar, endring frå året før"";-7100"
"""01-96 Alle næringar"";""2012K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,3"
